Problema,n,k,m,Iter,|LRC|,z,S,CPU(s)
examples/max_div_30_2.txt,30,2,4,20,3,52.7712,1-8-10-27,0.0142694
examples/max_div_30_2.txt,30,2,5,10,2,80.9102,1-8-10-12-27,0.011758
examples/max_div_30_2.txt,30,2,5,10,3,80.9102,1-8-10-12-27,0.0109578
examples/max_div_30_2.txt,30,2,5,20,2,80.9102,1-8-10-12-27,0.0207314
examples/max_div_30_2.txt,30,2,5,20,3,80.9102,1-8-10-12-27,0.0195291
examples/max_div_30_3.txt,30,3,2,10,2,13.0737,6-16,0.0026937
examples/max_div_30_3.txt,30,3,2,10,3,13.0737,6-16,0.0033364
examples/max_div_30_3.txt,30,3,2,20,2,13.0737,6-16,0.0062886
examples/max_div_30_3.txt,30,3,2,20,3,13.0737,6-16,0.0055789
examples/max_div_30_3.txt,30,3,3,10,2,34.2905,5-16-23,0.0046766
examples/max_div_30_3.txt,30,3,3,10,3,34.2905,5-16-23,0.0053103
examples/max_div_30_3.txt,30,3,3,20,2,34.2905,5-16-23,0.0113421
examples/max_div_30_3.txt,30,3,3,20,3,34.2905,5-16-23,0.0086021
examples/max_div_30_3.txt,30,3,4,10,2,63.702,5-13-16-23,0.0073191
examples/max_div_30_3.txt,30,3,4,10,3,63.702,5-13-16-23,0.0069551
examples/max_div_30_3.txt,30,3,4,20,2,63.702,5-13-16-23,0.0164414
examples/max_div_30_3.txt,30,3,4,20,3,63.702,5-13-16-23,0.0153069
examples/max_div_30_3.txt,30,3,5,10,2,98.1378,0-3-13-16-23,0.0104516
examples/max_div_30_3.txt,30,3,5,10,3,98.1378,0-3-13-16-23,0.0107003
examples/max_div_30_3.txt,30,3,5,20,2,98.1378,0-3-13-16-23,0.0190616
examples/max_div_30_3.txt,30,3,5,20,3,98.1378,0-3-13-16-23,0.0208826
