Algoritmo de ramificación y poda - Voraz - Cota superior más pequeña
Problema,n,k,m,z,S,CPU(s),nodos
examples/max_div_15_2.txt,15,2,4,49.8268,0-5-6-8,0.0029943,54
examples/max_div_15_2.txt,15,2,5,79.1295,0-3-5-6-8,0.0049328,65
examples/max_div_15_3.txt,15,3,2,13.2732,8-11,0.0020458,113
examples/max_div_15_3.txt,15,3,3,31.8685,4-6-11,0.0033061,265
examples/max_div_15_3.txt,15,3,4,59.7638,4-8-10-11,0.0480422,9342
examples/max_div_15_3.txt,15,3,5,96.0858,3-4-8-11-13,0.16088,28783
examples/max_div_20_2.txt,20,2,2,8.51033,17-18,0.002209,134
examples/max_div_20_2.txt,20,2,3,21.9961,8-17-18,0.0041628,293
examples/max_div_20_2.txt,20,2,4,40.0023,1-2-8-18,0.109149,17404
examples/max_div_20_2.txt,20,2,5,63.6517,1-8-13-17-18,0.435723,63733
examples/max_div_20_3.txt,20,3,2,11.8003,12-13,0.0025852,191
examples/max_div_20_3.txt,20,3,3,30.8727,7-12-13,0.0053229,456
examples/max_div_20_3.txt,20,3,4,56.6903,2-12-13-16,0.0545953,8067
examples/max_div_20_3.txt,20,3,5,92.8297,2-7-12-13-16,0.141235,20756
examples/max_div_30_2.txt,30,2,2,11.6571,8-27,0.0043989,233
examples/max_div_30_2.txt,30,2,3,28.9443,1-8-27,0.020205,1687
examples/max_div_30_2.txt,30,2,4,52.7712,1-8-10-27,0.402366,39504
examples/max_div_30_2.txt,30,2,5,80.9102,1-8-10-12-27,4.25689,398962
examples/max_div_30_3.txt,30,3,2,13.0737,6-16,0.0039316,117
examples/max_div_30_3.txt,30,3,3,34.2905,5-16-23,0.0428476,2362
examples/max_div_30_3.txt,30,3,4,63.702,5-13-16-23,0.225245,20650
examples/max_div_30_3.txt,30,3,5,99.592,5-13-14-16-23,1.52706,142191
